keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,n
phenobarbital,phenobarbital,phenobarbital,app_sem_1117,no_semantic_change,untranslated_review,low,translation_review,1
phenomenology of delusion,phenomenology of delusion,phenomenology of delusion,app_sem_1119,no_semantic_change,untranslated_review,low,translation_review,1
phenotypic features,phenotypic features,phenotypic features,app_sem_1120,no_semantic_change,untranslated_review,low,translation_review,1
philosophical therapy,philosophical therapy,philosophical terapia,app_sem_1121,no_semantic_change,token_partial_review,medium,translation_review,1
philosophy of life,philosophy of life,philosophy of życie,app_sem_1123,no_semantic_change,token_partial_review,medium,translation_review,1
phlosophy,phlosophy,phlosophy,app_sem_1124,no_semantic_change,untranslated_review,low,translation_review,1
phobic disorders,phobic disorder,phobic zaburzenie,app_sem_1125,plural_to_concept:phobic disorders->phobic disorder,token_partial_review,medium,translation_review|semantic_merge_audit,1
physical appearance,physical appearance,physical appearance,app_sem_1127,no_semantic_change,untranslated_review,low,translation_review,1
physical health,physical health,physical zdrowie,app_sem_1128,no_semantic_change,token_partial_review,medium,translation_review,1
physician-patient relation,physician-patient relation,physician-patient relation,app_sem_1129,no_semantic_change,untranslated_review,low,translation_review,1
physiological phenomena,physiological phenomena,physiological phenomena,app_sem_1130,no_semantic_change,untranslated_review,low,translation_review,1
picture,picture,picture,app_sem_1131,no_semantic_change,untranslated_review,low,translation_review,1
piecewise multi-phase model,piecewise multi-phase model,piecewise multi-phase model,app_sem_1132,no_semantic_change,untranslated_review,low,translation_review,1
plasma,plasma,plasma,app_sem_1133,no_semantic_change,untranslated_review,low,translation_review,1
pmr,pmr,pmr,app_sem_1134,no_semantic_change,untranslated_review,low,translation_review,1
polish myths,polish myths,polish myths,app_sem_1136,no_semantic_change,untranslated_review,low,translation_review,1
polish patriotism myths,polish patriotism myths,polish patriotism myths,app_sem_1137,no_semantic_change,untranslated_review,low,translation_review,1
polymorphism,polymorphism,polymorphism,app_sem_1139,no_semantic_change,untranslated_review,low,translation_review,1
population norms,population norms,population norms,app_sem_1140,no_semantic_change,untranslated_review,low,translation_review,1
pornography,pornography,pornography,app_sem_1141,no_semantic_change,untranslated_review,low,translation_review,1
positive affects,positive affects,positive affects,app_sem_1142,no_semantic_change,untranslated_review,low,translation_review,1
positive diagnosis of neurotic disorders,positive diagnosis of neurotic disorder,positive diagnoza of nerwicowy zaburzenie,app_sem_1143,plural_to_concept:positive diagnosis of neurotic disorders->positive diagnosis of neurotic disorder,token_partial_review,medium,translation_review|semantic_merge_audit,1
positive symptoms,positive symptom,positive objaw,app_sem_1144,plural_to_concept:positive symptoms->positive symptom,token_partial_review,medium,translation_review|semantic_merge_audit,1
positive urgency,positive urgency,positive urgency,app_sem_1145,no_semantic_change,untranslated_review,low,translation_review,1
post-communist,post-communist,post-communist,app_sem_1146,no_semantic_change,untranslated_review,low,translation_review,1
post-discharge,post-discharge,post-discharge,app_sem_1147,no_semantic_change,untranslated_review,low,translation_review,1
post-stroke depression,post-stroke depression,post-stroke depresja,app_sem_1148,no_semantic_change,token_partial_review,medium,translation_review,1
post-traumatic growth,post-traumatic growth,post-traumatyczny growth,app_sem_1149,no_semantic_change,token_partial_review,medium,translation_review,1
postmodernism,postmodernism,postmodernism,app_sem_1151,no_semantic_change,untranslated_review,low,translation_review,1
postnatal depression,postnatal depression,postnatal depresja,app_sem_1152,no_semantic_change,token_partial_review,medium,translation_review,1
postpartum psychosis,postpartum psychosis,postpartum psychosis,app_sem_1154,no_semantic_change,untranslated_review,low,translation_review,1
postpartum stress disorder,postpartum stress disorder,postpartum stres zaburzenie,app_sem_1155,no_semantic_change,token_partial_review,medium,translation_review,1
posttraumatic stress disorder (ptsd),posttraumatic stress disorder (ptsd),posttraumatic stres zaburzenie (ptsd),app_sem_1156,no_semantic_change,token_partial_review,medium,translation_review,1
practicioner,practicioner,practicioner,app_sem_1157,no_semantic_change,untranslated_review,low,translation_review,1
preclinical stage,preclinical stage,preclinical stage,app_sem_1158,no_semantic_change,untranslated_review,low,translation_review,1
predictors,predictors,predictors,app_sem_1159,no_semantic_change,untranslated_review,low,translation_review,1
predictors of postpartum depression,predictors of postpartum depression,predictors of postpartum depresja,app_sem_1160,no_semantic_change,token_partial_review,medium,translation_review,1
preschool children,preschool children,preschool dzieci,app_sem_1162,no_semantic_change,token_partial_review,medium,translation_review,1
prescription,prescription,prescription,app_sem_1163,no_semantic_change,untranslated_review,low,translation_review,1
pretherapy waiting,pretherapy waiting,pretherapy waiting,app_sem_1164,no_semantic_change,untranslated_review,low,translation_review,1
prevalence of mental disorders,prevalence of mental disorder,rozpowszechnienie of zaburzenie psychiczne,app_sem_1166,plural_to_concept:prevalence of mental disorders->prevalence of mental disorder,token_partial_review,medium,translation_review|semantic_merge_audit,1
prevention and control,prevention and control,profilaktyka and control,app_sem_1168,no_semantic_change,token_partial_review,medium,translation_review,1
preventive interventions,preventive interventions,preventive interventions,app_sem_1169,no_semantic_change,untranslated_review,low,translation_review,1
preventive methods,preventive methods,preventive methods,app_sem_1170,no_semantic_change,untranslated_review,low,translation_review,1
preventive operations,preventive operations,preventive operations,app_sem_1171,no_semantic_change,untranslated_review,low,translation_review,1
previous psychotherapy,previous psychotherapy,previous psychoterapia,app_sem_1172,no_semantic_change,token_partial_review,medium,translation_review,1
primary central nervous system lymphoma,primary central nervous system lymphoma,primary central nervous system lymphoma,app_sem_1173,no_semantic_change,untranslated_review,low,translation_review,1
primary health care,primary health care,primary zdrowie care,app_sem_1174,no_semantic_change,token_partial_review,medium,translation_review,1
primary school children,primary school children,primary school dzieci,app_sem_1176,no_semantic_change,token_partial_review,medium,translation_review,1
primary schools,primary school,szkoła podstawowa,app_sem_1175,plural_to_concept:primary schools->primary school,glossary_exact,high,semantic_merge_audit,1
prion protein,prion protein,prion protein,app_sem_1177,no_semantic_change,untranslated_review,low,translation_review,1
prison,prison,prison,app_sem_1178,no_semantic_change,untranslated_review,low,translation_review,1
privacy policy,privacy policy,privacy policy,app_sem_1179,no_semantic_change,untranslated_review,low,translation_review,1
problematic internet use,problematic internet use,problematic internet używanie,app_sem_1180,no_semantic_change,token_partial_review,medium,translation_review,1
problems of drug therapy,problems of drug therapy,problems of lek terapia,app_sem_1181,no_semantic_change,token_partial_review,medium,translation_review,1
process research,process research,process badania,app_sem_1182,no_semantic_change,token_partial_review,medium,translation_review,1
professionals,professionals,professionals,app_sem_1184,no_semantic_change,untranslated_review,low,translation_review,1
professionals working with people after traumatic experiences,professionals working with people after traumatic experiences,professionals working with people after traumatyczny experiences,app_sem_1185,no_semantic_change,token_partial_review,medium,translation_review,1
prolonged exposure,prolonged exposure,prolonged exposure,app_sem_1186,no_semantic_change,untranslated_review,low,translation_review,1
prophylactic adnexectomy,prophylactic adnexectomy,prophylactic adnexectomy,app_sem_1187,no_semantic_change,untranslated_review,low,translation_review,1
prophylactic mastectomy,prophylactic mastectomy,prophylactic mastectomy,app_sem_1188,no_semantic_change,untranslated_review,low,translation_review,1
propofol,propofol,propofol,app_sem_1189,no_semantic_change,untranslated_review,low,translation_review,1
proprioception,proprioception,proprioception,app_sem_1190,no_semantic_change,untranslated_review,low,translation_review,1
prospective iu,prospective iu,prospective iu,app_sem_1191,no_semantic_change,untranslated_review,low,translation_review,1
protocol compliance,protocol compliance,protocol compliance,app_sem_1192,no_semantic_change,untranslated_review,low,translation_review,1
proton magnetic resonance spectroscopy,proton magnetic resonance spectroscopy,proton magnetic resonance spectroscopy,app_sem_1193,no_semantic_change,untranslated_review,low,translation_review,1
psorasis,psorasis,psorasis,app_sem_1194,no_semantic_change,untranslated_review,low,translation_review,1
pssi-persnlichkeits-stil-und strungs-inventar,pssi-persnlichkeits-stil-und strungs-inventar,pssi-persnlichkeits-stil-und strungs-inventar,app_sem_1196,no_semantic_change,untranslated_review,low,translation_review,1
psychiatric care,psychiatric care,psychiatryczny care,app_sem_1197,no_semantic_change,token_partial_review,medium,translation_review,1
psychiatric clinical care,psychiatric clinical care,psychiatryczny clinical care,app_sem_1198,no_semantic_change,token_partial_review,medium,translation_review,1
psychiatric disability,psychiatric disability,psychiatryczny disability,app_sem_1201,no_semantic_change,token_partial_review,medium,translation_review,1
psychiatric illness,psychiatric illness,psychiatryczny illness,app_sem_1202,no_semantic_change,token_partial_review,medium,translation_review,1
psychiatric nurses,psychiatric nurses,psychiatryczny nurses,app_sem_1204,no_semantic_change,token_partial_review,medium,translation_review,1
psychiatric outpatients,psychiatric outpatients,psychiatryczny outpatients,app_sem_1205,no_semantic_change,token_partial_review,medium,translation_review,1
psychiatrically-impaired mental health practitioners,psychiatrically-impaired mental health practitioners,psychiatrically-impaired mental health practitioners,app_sem_1208,no_semantic_change,untranslated_review,low,translation_review,1
